SellerSku,ParentSku,ShopSku,Name,Brand,PrimaryCategory,Price,SpecialPrice,Status,Stock
120191243-GO,120191243-GO,112771564,Curren Reloj de Mujer,CURREN,Relojes de pulsera,26990.00,,inactive,0
20202807-BR,20202807-BR,112771574,Reloj Pulsera Hombre CURREN 8301,CURREN,Relojes de pulsera,32990.00,,inactive,0
20201043-BK,20201043-BK,110437493,Portabicicletas Universal 2 Bicicletas,GATON,Parillas de auto,75090.00,,inactive,0
10101073-MC,10101073-MC,112634437,Lápices Acuarela 180 Colores Brutfuner,GENERICO,Ceras|carboncillos|pasteles,43390.00,,active,0
2022020902-MC,2022020902-MC,112771552,Lápices De Óleo 120 Colores Brutfuner,GATON,Ceras|carboncillos|pasteles,31790.00,,inactive,0
120191243-SI,120191243-GO,112771563,Curren Reloj de Mujer,CURREN,Relojes de pulsera,24990.00,,active,0
120191244-GO,120191244-GO,112771559,Curren Reloj de Mujer,CURREN,Relojes de pulsera,29990.00,,active,0
120191244-SI,120191244-GO,112771558,Curren Reloj de Mujer,CURREN,Relojes de pulsera,24990.00,,active,0
20191282-OR,20191282-OR,112771543,Alfombra de orina impermeable para mascotas Naranja,GENERICO,Artículos para el aseo de mascotas,18390.00,,active,0
20191282-GY,20191282-GY,112771541,Alfombra de orina impermeable para mascotas Gris,GENERICO,Artículos para el aseo de mascotas,18390.00,,active,0
20191282-BR,20191282-BR,112771539,Alfombra de orina impermeable para mascotas Café,GENERICO,Artículos para el aseo de mascotas,18390.00,,active,0
20191274-WHA,20191274-WHA,112779093,Cama De Mascotas Carpa Tipi Animals,GENERICO,Casas|camas|alojamiento para mascotas,41990.00,,inactive,0
20200908-LBR,20200908-LBR,112789600,Humidificador Y Purificador De Aire Café Claro,GENERICO,Otros productos de aromaterapia,34990.00,,inactive,0
2022033002-BK,2022033002-BK,112795932,Parlante portátil Boombox HOPESTAR Negro,GENERICO,Parlantes|docks portátiles,35790.00,,active,0
20191272-GY,20191272-GY,112904738,Manta Sherpa Suave Gris Tailandesa,GATON,Mantas no eléctricas|frazadas,29490.00,,inactive,0
2022061506-BK,2022061506-BK,113037529,Mochila Viajero Compacta 40L Bange,BANGE,Maletas|bolsos de viaje,44990.00,39892.00,active,60
2022061507-BK,2022061507-BK,113037579,Mochila Business Traveler Bange BG-1921,BANGE,Maletas|bolsos de viaje,39990.00,29993.00,active,12
2022061505-BK,2022061505-BK,113038870,Bandolera Impermeable Bange BG-7221,BANGE,Bananos|canguros|riñoneras,32990.00,,inactive,0
2022061505-GY,2022061505-BK,113038869,Bandolera Impermeable Bange BG-7221,BANGE,Bananos|canguros|riñoneras,32990.00,,inactive,0
20220208-BK,20220208-BK,113039250,Lonchera Cartera Fashion Deluxe Negra,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,17990.00,,inactive,0
2022020907-BK,2022020907-BK,113039254,Lonchera Cartera Full Fashion Negra,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,18390.00,,inactive,0
2022020907-BL,2022020907-BL,113040072,Lonchera Cartera Full Fashion Azul,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,18390.00,,active,0
2022020907-GY,2022020907-GY,113040121,Lonchera Cartera Full Fashion Gris,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,18390.00,,inactive,0
2022020907-PI,2022020907-PI,113040229,Lonchera Cartera Full Fashion Rosada,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,18390.00,,inactive,0
2022020905-FBL,2022020905-FBL,113040275,Lonchera Tela Oxford Tipo Cartera Flamenco Azul,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,6690.00,,inactive,0
2022020905-FSB,2022020905-FSB,113040321,Lonchera Tela Oxford Tipo Cartera Flamenco Celeste,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,4990.00,,inactive,0
2022020905-BL,2022020905-BL,113040367,Lonchera Tela Oxford Tipo Cartera Azul,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,4990.00,,inactive,0
2022020905-SWH,2022020905-SWH,113040381,Lonchera Tela Oxford Tipo Cartera STRIPES WHITE,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,4990.00,,active,0
20201049-WH,20201049-WH,113040855,Limpiavidrios Magnéticos Termopanel 15-24MM,GATON,Accesorios para limpieza,24990.00,,active,0
2022061501-WH,2022061501-WH,113040999,Set de Repuesto de Limpiavidrios Magnético,GATON,Accesorios para limpieza,5990.00,,active,0
